"","origin","destination","sector","value"
"628","AUS","DNK","C15",1.03871472358704
"629","AUS","ESP","C15",1.03248169660568
"630","AUS","EST","C15",1.03991499423981
"631","AUS","FIN","C15",1.03616283655167
"632","AUS","FRA","C15",1.02102605342865
"633","AUS","GBR","C15",1.0150969004631
"634","AUS","GRC","C15",1.03957231521606
"635","AUS","HRV","C15",1.02657326221466
"636","AUS","HUN","C15",1.0222268652916
"637","AUS","IDN","C15",1.00314316451549
"638","AUS","IND","C15",1.02557749032974
"639","AUS","IRL","C15",1.03315364837646
"640","AUS","ITA","C15",1.03723729610443
"641","AUS","JPN","C15",1.04635505199432
"642","AUS","KOR","C15",1.01750249385834
"643","AUS","LTU","C15",1.05
"644","AUS","LUX","C15",1.02275349617004
"645","AUS","LVA","C15",1.00051902890205
"646","AUS","MEX","C15",1.03896011829376
"647","AUS","MLT","C15",1.02275349617004
"648","AUS","NLD","C15",1.03240739583969
"649","AUS","NOR","C15",1.03445161104202
"650","AUS","POL","C15",1.00220306769013
"651","AUS","PRT","C15",1.0139234995842
"652","AUS","ROU","C15",1.02520772695541
"653","AUS","ROW","C15",1.02471572678624
"654","AUS","RUS","C15",1.01439093828201
"655","AUS","SVK","C15",1.03230309247971
"656","AUS","SVN","C15",1.03858680725098
"657","AUS","SWE","C15",1.03579021453857
"658","AUS","TUR","C15",1.0328134393692
"659","AUS","TWN","C15",1.02625332832336
"660","AUS","USA","C15",1
"661","AUS","AUS","C16",1
"662","AUS","AUT","C16",1.0406437921524
"663","AUS","BEL","C16",1.0373109960556
